year,make,brand,body,transmission,state,qty sold,mileage,outer color,interior color,seller,costprice,sellingprice,salemonth
2002,Lexus,LS 430,Sedan,automatic,fl,27,63001,silver,beige,the collection,9300,8600,Dec
2002,Lexus,LS 430,Sedan,automatic,fl,26,91780,black,tan,lauderdale imports ltd bmw pembrok pines,8100,9900,Dec
2002,Lexus,RX 300,SUV,automatic,fl,0,141977,gray,beige,napleton's hyundai,5000,5300,Dec
2002,Land Rover,Freelander,SUV,automatic,va,0,114253,burgundy,â€”,superior autos int,1150,750,Dec
2002,Lexus,ES 300,Sedan,automatic,oh,1,150629,silver,gray,select remarketing group llc/loan max title,4175,2550,Dec
2002,Lexus,RX 300,SUV,automatic,ga,25,137474,beige,tan,germain lexus,5425,5300,Dec
2002,Lexus,RX 300,SUV,automatic,fl,0,61853,white,beige,coconut creek auto mall,6250,8100,Dec
2002,Lexus,LS 430,Sedan,automatic,fl,28,125155,gold,tan,johnson lexus of raleigh,7675,8100,Dec
2002,Lexus,LS 430,Sedan,automatic,nc,19,198881,gold,gray,professional financial services/charlotte,5200,4900,Jan
2002,land rover,discovery,,automatic,nv,0,120356,beige,â€”,free auto sales llc,1525,800,Dec
2002,Lexus,ES 300,Sedan,automatic,ny,0,155170,gray,gray,abs,4100,2650,Dec
2002,Lexus,ES 300,Sedan,automatic,ny,0,108092,black,tan,eckert auto,5000,5100,Dec
2002,Lexus,ES 300,Sedan,automatic,ga,23,115110,silver,tan,nalley lexus smyrna,4875,5400,Dec
2002,Lexus,ES 300,Sedan,automatic,wa,43,124410,white,tan,remarketing by ge/archibalds inc,4775,4900,Jan
2002,Lexus,ES 300,Sedan,automatic,md,0,154442,silver,â€”,sheehy honda,4125,4000,Dec
2002,Lexus,IS 300,Sedan,automatic,wa,21,126448,white,black,lexus of seattle llc,4525,5700,Dec
2002,Lexus,LS 430,Sedan,automatic,ca,0,232857,silver,â€”,mountain motors inc,5000,4500,Dec
2002,Lexus,LX 470,SUV,automatic,il,0,126009,white,â€”,perillo bmw inc,12650,12300,Dec
2002,Lexus,LS 430,Sedan,automatic,fl,19,123500,gold,beige,courtesy hyundai,7400,6700,Dec
2002,Lexus,ES 300,Sedan,automatic,az,26,182844,black,black,california auto finance,3550,2800,Dec
2002,Toyota,Camry,Sedan,automatic,va,0,249512,green,â€”,rosner motors inc,2075,2100,Dec
2002,Toyota,Camry,Sedan,automatic,ga,0,203123,beige,beige,lewis page auto brokers,2525,2700,Dec
2002,Toyota,Avalon,Sedan,automatic,ga,0,152445,green,gray,luxury imports inc,3475,1800,Dec
2002,Toyota,Camry,Sedan,automatic,il,0,221952,black,â€”,phillips chevrolet inc,2325,1700,Dec
2002,Toyota,Avalon,Sedan,automatic,tx,26,133295,white,tan,supreme fcu,3500,4600,Jan
2002,Toyota,Camry,Sedan,automatic,ga,22,365286,green,tan,nalley toyota stonecrest,1175,2100,Dec
2002,Toyota,Camry,Sedan,automatic,il,0,126217,silver,â€”,chignoli auto sales inc,3250,4200,Dec
2002,Toyota,Camry,Sedan,automatic,pa,4,79081,silver,gray,autocelli inc,3725,5800,Dec
2002,Toyota,Camry,Sedan,automatic,ga,26,261534,blue,beige,automobile acceptance corp,1950,2300,Dec
2002,Toyota,Camry Solara,Coupe,automatic,mn,0,221338,silver,black,rudy luther toyota,1050,2000,Dec
2002,Toyota,Camry,Sedan,automatic,fl,0,138573,black,gray,earl stewart toyota of north palm beach,2675,2700,Dec
2002,Toyota,Camry,Sedan,automatic,la,26,196559,brown,â€”,acadian credit plan inc,2575,300,Dec
2002,Toyota,Camry,Sedan,automatic,mn,0,211078,red,gray,burnsville toyota,1900,2500,Dec
2002,Toyota,Camry,Sedan,automatic,fl,19,219745,silver,tan,executive auto brokers & leasing inc,2375,2300,Dec
2002,Toyota,Camry,Sedan,automatic,ga,19,198115,black,gray,nalley nissan decatur,2600,2400,Dec
