year,make,model,trim,body,transmission,vin,state,qty sold,odometer,color,interior,seller,mmr,sellingprice,saledate
2001,Toyota,Highlander,V6,SUV,automatic,jtegf21a410015193,ca,0,136694,black,—,east bay bmw,3800,4500,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2001,Toyota,Tundra,Base,Regular Cab,manual,5tbjn32171s167671,ca,2,293281,white,beige,lon motors,350,1550,Fri Jan 09 2015 15:00:00 GMT-0800 (PST)
2002,BMW,3 Series,325i,Sedan,automatic,wbaev33402kl68769,ny,0,117414,red,tan,destination nissan,2850,2900,Thu Dec 18 2014 09:45:00 GMT-0800 (PST)
2002,BMW,7 Series,745i,Sedan,automatic,wbagl63472dp54092,mi,36,115971,gray,black,jeffs motorcars inc,4325,5400,Thu Dec 18 2014 09:30:00 GMT-0800 (PST)
2002,BMW,3 Series,325i,Sedan,,wbaet37452nh01016,va,0,156079,blue,—,ecargarage,2475,2950,Thu Dec 18 2014 09:35:00 GMT-0800 (PST)
2002,BMW,3 Series,325i,Sedan,automatic,wbaev33412kl67677,ca,32,123210,black,black,lobel financial corp,2875,2850,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
2002,BMW,7 Series,745i,Sedan,automatic,wbagl634x2dp57987,tx,29,163208,gray,gray,automotive remarketing inc,3175,2900,Tue Dec 23 2014 10:10:00 GMT-0800 (PST)
2002,BMW,3 Series,325xi,Sedan,automatic,wbaeu33462pf70511,ny,22,107441,white,black,wayne county ford,3375,3000,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
2002,BMW,5 Series,525i,Sedan,automatic,wbadt43432gy44765,fl,0,185137,green,tan,wright cycles & power sports llc,750,1500,Wed Dec 17 2014 16:40:00 GMT-0800 (PST)
2002,BMW,3 Series,325i,Sedan,automatic,wbaet37412ng81198,fl,0,1,blue,tan,obrien hyundai,3725,500,Wed Dec 17 2014 15:00:00 GMT-0800 (PST)
2002,BMW,3 Series,330Ci,Convertible,manual,wbabs53402ev89732,pa,25,145257,silver,gray,bmw of annapolis/mini of annapolis,3950,2900,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
2002,BMW,3 Series,325i,Sedan,automatic,wbaet37402ng82794,fl,2,145390,blue,tan,metro ford inc,2750,2500,Fri Jan 09 2015 09:30:00 GMT-0800 (PST)
2002,BMW,X5,3.0i,SUV,automatic,5uxfa53512lp30110,ga,0,134725,blue,tan,global imports,4125,2450,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2002,BMW,X5,3.0i,SUV,automatic,5uxfa53522lp45084,pr,23,65305,black,beige,pa distributors,6200,4000,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2002,BMW,3 Series,325i,Sedan,automatic,wbaet37462ng75591,mi,19,204800,silver,gray,erhard bmw of farmington hills,1375,1650,Thu Mar 05 2015 01:30:00 GMT-0800 (PST)
2002,BMW,3 Series,325xi,Sedan,,wbaeu33472ph85525,pa,19,161209,blue,beige,j magnone auto group llc,2750,2000,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
2002,BMW,5 Series,530i,Sedan,manual,wbadt53412ce92611,pa,19,141305,blue,beige,j magnone auto group llc,2950,2750,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
2002,BMW,M3,Base,Convertible,manual,wbsbr93452ex23214,ca,34,60393,black,black,high bid trading co inc,12000,14000,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2002,BMW,3 Series,330i,Sedan,automatic,wbaev53422km16512,nc,0,146404,blue,gray,richmond bmw crown mini of richmond,3325,3900,Thu Dec 18 2014 14:30:00 GMT-0800 (PST)
2002,BMW,X5,4.6is,SUV,,5uxfb93582ln78945,pa,34,144202,silver,black,crestwood motors inc,5250,5500,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
2002,BMW,X5,3.0i,SUV,automatic,5uxfa53532lp39102,wi,0,158938,burgundy,tan,autosource motors inc,3450,3500,Wed Dec 17 2014 10:00:00 GMT-0800 (PST)
2002,BMW,X5,4.4i,SUV,automatic,5uxfb33582lh32425,va,34,136671,white,black,primeritus remarketing/aras,4100,3100,Thu Dec 18 2014 09:20:00 GMT-0800 (PST)
2002,BMW,X5,4.4i,SUV,automatic,5uxfb33572lh38748,fl,19,152054,red,beige,innovate loan servicing corp,3425,2100,Thu Dec 18 2014 15:01:00 GMT-0800 (PST)
2002,BMW,Z3,2.5i,Convertible,automatic,4uscn33472lm05234,md,2,1,red,beige,355 toyota,10950,5000,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
